true_label,Acoerulea,Acomosus,Ahypochondriacus,Ahypogaea,Aofficinalis,Athaliana,Bdistachyon,Bplatyphylla,Bstricta,Bvulgaris,Carabica,Carietinum,Cavellana,Ccitriodora,Cclementina,Cillinoinensis,Ckanehirae,Cquinoa,Crubella,Csativus,Dalata,Dcarota,Ecoracana,Egrandis,Esalsugineum,Fvesca,Gmax,Hannuus,Hvulgare,Lalbus,Lervoides,Ljaponicus,Lsativa,Lusitatissimum,Macuminata,Mdomestica,Mesculenta,Msinensis,Mtruncatula,Ncolorata,Oeuropaea,Osativa,Othomaeum,Pamilis,Ppersica,Ptrichocarpa,Ptrifoliata,Pvaginatum,Pvirgatum,Qrubra,Rcommunis,Sbicolor,Soleracea,Sparvula,Spolyrhiza,Spurpurea,Sviridis,Taestivum,Tintermedium,Vdarrowii,Vfaba,Vunguiculata,Vvinifera,Zmarina,Zmays
Carabica,7,4,3,1,2,0,1,3,0,8,43,1,4,2,2,3,5,10,1,1,1,2,2,5,0,2,5,0,1,2,1,4,1,1,1,3,8,0,4,10,2,1,1,1,4,5,8,0,0,6,0,0,4,1,0,0,0,0,1,8,1,1,5,0,1
Carietinum,6,3,4,9,1,1,0,0,0,4,2,45,1,0,1,0,2,3,1,6,3,5,0,0,0,1,9,1,1,7,9,7,5,1,1,1,3,0,12,0,5,0,0,0,1,2,2,0,0,2,6,0,2,2,0,0,0,0,0,0,4,6,2,4,0
Cavellana,4,1,2,1,7,2,1,31,0,1,4,0,39,0,2,7,15,5,0,2,3,0,0,2,0,3,4,2,0,1,1,4,0,0,1,2,2,1,2,3,1,1,0,3,2,2,6,0,1,15,2,0,3,1,2,2,0,0,1,9,5,1,5,1,1
Ccitriodora,0,1,2,0,1,0,7,2,5,0,5,0,2,35,1,2,10,4,0,1,3,0,2,47,0,0,2,0,3,0,0,1,0,2,5,3,1,2,0,7,5,3,2,3,2,2,0,2,0,1,0,0,0,2,3,1,2,2,0,4,1,0,1,0,0
Cclementina,1,2,7,2,2,1,1,4,1,1,3,5,2,1,21,7,1,2,3,1,3,3,1,2,1,0,14,0,0,0,4,3,1,2,1,0,11,0,0,1,2,1,0,1,6,6,28,0,0,2,3,0,1,2,0,4,0,1,0,2,4,2,7,1,0
Cillinoinensis,3,0,0,1,7,2,0,10,0,5,7,0,12,1,3,32,16,4,1,1,4,4,2,5,0,1,5,3,0,4,1,1,1,1,2,3,2,0,1,15,2,0,2,0,2,4,2,0,0,9,1,0,1,2,1,4,0,0,1,9,2,4,11,1,0
Ckanehirae,3,0,3,0,1,1,0,1,0,3,3,0,7,2,1,1,165,1,2,0,2,0,0,2,0,4,1,1,0,1,1,3,2,0,2,1,4,1,2,10,2,1,0,0,2,3,0,0,2,10,0,1,0,1,2,3,1,1,0,10,1,2,11,4,0
Cquinoa,5,4,12,3,3,1,0,5,0,11,2,3,5,0,4,1,6,43,1,0,2,6,1,2,1,2,3,2,1,6,5,10,2,2,0,4,5,2,6,1,1,1,2,2,3,2,5,3,0,12,2,2,14,0,1,2,0,0,2,3,1,1,2,1,0
Crubella,5,2,2,1,2,26,1,1,13,1,1,2,0,1,0,0,0,0,30,2,0,4,0,1,21,5,1,0,1,0,1,1,3,3,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,32,1,0,0,0,0,1,0,0,1,4,0
Csativus,4,2,9,6,4,1,0,0,2,5,3,12,1,0,3,5,1,2,1,45,1,1,0,0,0,1,4,1,0,3,5,4,2,3,3,5,2,0,11,2,3,0,0,1,1,2,3,0,0,0,2,0,1,2,0,1,0,0,0,2,2,7,4,1,0
Dalata,3,0,2,10,1,0,2,3,0,4,0,4,2,3,6,11,6,5,0,0,43,0,1,0,0,2,5,0,0,4,3,5,3,1,4,0,2,0,1,4,0,0,0,2,2,12,4,1,0,5,3,0,0,0,1,18,0,1,0,2,2,2,13,1,1
Dcarota,1,0,1,5,8,1,0,2,3,6,2,4,2,0,5,5,2,5,4,0,0,62,1,1,1,2,4,1,2,2,3,1,0,1,2,2,8,2,1,2,3,1,1,0,2,1,4,0,0,3,4,0,2,2,1,3,2,1,0,2,4,2,1,5,2
Ecoracana,3,0,0,0,2,3,17,1,1,0,1,1,0,3,0,0,0,0,0,0,0,0,30,2,0,1,0,0,6,0,0,1,0,1,3,0,0,3,0,3,0,3,31,0,0,0,0,11,13,0,0,11,1,2,0,1,13,10,14,0,0,0,0,1,10
Egrandis,1,2,0,0,3,0,1,1,1,2,8,0,5,45,1,0,8,2,0,0,0,1,1,45,2,2,0,0,1,0,0,1,1,2,3,2,1,0,0,11,2,5,0,2,2,0,0,0,2,0,0,0,0,0,3,0,5,4,1,10,1,0,0,1,1
