true_label,Acoerulea,Acomosus,Ahypochondriacus,Ahypogaea,Aofficinalis,Athaliana,Bdistachyon,Bplatyphylla,Bstricta,Bvulgaris,Carabica,Carietinum,Cavellana,Ccitriodora,Cclementina,Cillinoinensis,Ckanehirae,Cquinoa,Crubella,Csativus,Dalata,Dcarota,Ecoracana,Egrandis,Esalsugineum,Fvesca,Gmax,Hannuus,Hvulgare,Lalbus,Lervoides,Ljaponicus,Lsativa,Lusitatissimum,Macuminata,Mdomestica,Mesculenta,Msinensis,Mtruncatula,Ncolorata,Oeuropaea,Osativa,Othomaeum,Pamilis,Ppersica,Ptrichocarpa,Ptrifoliata,Pvaginatum,Pvirgatum,Qrubra,Rcommunis,Sbicolor,Soleracea,Sparvula,Spolyrhiza,Spurpurea,Sviridis,Taestivum,Tintermedium,Vdarrowii,Vfaba,Vunguiculata,Vvinifera,Zmarina,Zmays
Spolyrhiza,3,4,2,0,6,0,13,2,1,1,1,2,1,10,1,3,14,0,0,4,1,0,6,16,0,1,3,0,1,8,1,1,2,5,26,2,1,3,2,26,6,1,7,1,2,2,1,4,3,3,2,4,2,2,388,3,2,6,5,6,1,1,8,4,1
Spurpurea,9,6,7,15,5,0,0,9,1,7,14,7,8,4,28,35,15,3,2,11,23,11,6,7,2,7,25,0,1,6,10,11,4,3,12,3,25,0,9,18,3,2,3,4,12,113,14,3,0,10,9,0,5,3,5,185,2,1,8,1,6,15,25,7,0
Sviridis,2,3,0,1,2,0,62,0,3,1,5,1,1,4,0,0,3,0,1,0,3,2,47,4,1,1,0,1,43,0,0,0,2,0,14,3,1,22,1,8,1,34,58,2,1,0,0,75,64,0,2,42,1,0,1,3,104,39,42,3,0,0,1,1,35
Taestivum,1,5,3,1,2,0,82,2,0,1,1,2,1,7,0,1,4,1,1,0,2,0,39,7,0,9,0,2,123,0,4,1,2,4,5,5,1,16,2,7,2,29,26,4,1,0,0,45,40,0,0,21,2,0,6,1,41,129,72,5,0,0,0,0,34
Tintermedium,1,8,0,0,5,0,80,0,0,1,1,1,0,7,0,3,5,1,0,0,0,3,41,3,0,5,1,2,91,2,0,0,3,2,5,3,1,26,1,12,2,27,36,4,0,0,1,49,35,1,2,21,4,2,2,0,42,97,110,10,3,0,0,1,42
Vdarrowii,13,9,13,2,17,2,5,10,1,18,21,0,9,19,3,10,49,5,4,3,1,4,2,20,1,23,0,18,4,2,4,5,4,10,3,50,0,2,5,26,8,3,1,25,22,3,0,1,5,4,0,3,14,0,1,4,3,7,7,415,4,3,3,4,3
Vfaba,19,5,26,12,15,5,6,3,2,17,3,48,0,1,8,4,3,9,9,21,9,21,5,1,5,10,16,10,4,26,87,18,11,7,9,8,7,1,31,8,12,0,1,3,4,6,9,1,0,8,7,1,10,4,3,3,1,4,2,11,118,32,19,9,2
Vunguiculata,11,1,12,19,4,8,6,4,3,10,3,50,5,4,12,10,2,11,2,30,14,19,0,3,5,7,77,5,3,32,16,23,12,2,7,11,17,3,10,5,3,1,1,7,7,8,12,0,0,7,9,2,5,6,1,13,1,1,3,1,21,163,27,9,2
Vvinifera,2,1,11,9,4,0,5,11,0,7,10,5,12,6,5,18,52,6,0,13,33,2,1,2,1,4,32,1,4,9,7,6,3,3,9,4,34,3,2,9,5,0,1,13,12,28,5,3,3,60,10,1,3,1,3,17,2,3,6,4,6,13,370,2,1
Zmarina,10,12,6,5,15,9,7,3,11,2,4,9,5,5,4,2,17,0,8,6,5,17,0,2,21,4,0,10,6,10,8,5,6,28,15,4,12,1,8,5,8,5,3,1,1,3,6,1,1,4,4,2,9,16,3,4,1,3,3,4,6,4,8,415,6
Zmays,4,3,0,0,10,0,39,0,0,3,1,1,1,2,3,2,8,2,0,0,0,1,54,2,5,2,0,3,38,3,2,2,1,2,11,5,1,30,0,5,1,34,69,2,0,1,0,54,44,1,0,68,4,1,7,1,37,38,27,2,2,0,0,1,230
