true_label,Acipenser ruthenus,Acropora millepora,Anguilla rostrata,Astatotilapia calliptera,Astyanax mexicanus,Biomphalaria glabrata,Brienomyrus brachyistius,Bubalus bubalis,Callithrix jacchus,Carassius gibelio,Cavia porcellus,Cervus canadensis,Choloepus didactylus,Clarias gariepinus,Clupea harengus,Conger conger,Crassostrea virginica,Ctenopharyngodon idella,Dasypus novemcinctus,Dreissena polymorpha,Elephas maximus indicus,Engraulis encrasicolus,Esox lucius,Fundulus heteroclitus,Gambusia affinis,Girardinichthys multiradiatus,Gopherus evgoodei,Haliotis rufescens,Hemicordylus capensis,Hippopotamus amphibius kiboko,Homo sapiens,Hoplias malabaricus,Ictalurus furcatus,Larimichthys crocea,Lates calcarifer,Lingula anatina,Lutra lutra,Macaca fascicularis,Manis pentadactyla,Mauremys reevesii,Melanotaenia boesemani,Mercenaria mercenaria,Micropterus dolomieu,Monodelphis domestica,Mus musculus,Mya arenaria,Mytilus trossulus,Necator americanus,Neoarius graeffei,Nycticebus coucang,Pangasianodon hypophthalmus,Panthera leo,Pimephales promelas,Pocillopora verrucosa,Pygocentrus nattereri,Rhineura floridana,Salvelinus sp. IW2-2015,Scleropages formosus,Sebastes umbrosus,Siniperca chuatsi,Strongylocentrotus purpuratus,Symphalangus syndactylus,Triplophysa dalaica,Xyrauchen texanus,Zalophus californianus
Cavia porcellus,2,1,0,0,0,1,1,3,8,1,9,3,9,1,1,2,1,0,2,0,3,3,0,1,2,0,2,1,7,1,19,3,0,1,2,1,6,5,6,11,0,2,2,4,14,0,2,0,1,11,0,2,0,0,0,5,0,1,0,0,0,12,0,2,12
Cervus canadensis,2,0,0,1,1,0,0,7,15,2,9,6,7,0,0,0,0,0,2,0,5,0,0,1,0,0,3,0,5,4,9,0,0,0,2,0,6,5,9,3,1,3,0,6,9,1,1,0,0,7,2,8,0,0,1,3,0,1,1,0,1,8,0,3,8
Choloepus didactylus,0,1,1,0,1,0,0,6,11,2,6,3,12,3,0,0,1,1,8,0,8,0,0,1,0,0,2,0,8,4,9,0,0,0,0,0,10,9,12,4,1,0,1,6,5,0,1,0,2,10,0,6,1,1,1,4,0,0,0,0,0,10,0,1,13
Clarias gariepinus,14,0,3,5,9,1,4,1,1,22,0,0,0,14,3,1,1,2,0,0,0,2,2,6,1,2,0,0,2,0,0,8,4,4,3,1,0,0,0,2,2,2,1,0,1,0,1,1,9,0,2,0,2,0,2,0,0,5,5,6,0,2,2,15,2
Clupea harengus,15,7,7,6,5,4,3,1,0,12,0,0,0,0,5,6,2,0,0,1,1,6,5,1,1,1,2,13,4,0,0,4,4,4,2,8,0,1,0,1,1,2,2,0,0,5,1,0,0,0,1,0,1,1,0,2,6,1,3,4,2,2,1,8,1
Conger conger,13,3,15,0,1,2,8,0,0,9,0,0,0,1,4,16,4,1,1,4,0,5,10,3,2,3,0,9,1,0,0,3,2,2,3,5,2,0,0,2,5,6,1,0,0,3,1,4,2,1,0,1,2,4,2,2,7,4,0,3,3,0,4,9,0
Crassostrea virginica,6,9,4,0,0,6,2,0,0,9,0,0,0,0,0,2,14,0,1,14,0,0,1,0,1,0,0,13,0,1,0,1,1,0,0,3,0,0,0,1,1,36,1,0,0,26,20,0,1,0,0,0,2,4,0,0,2,0,0,0,9,0,2,3,0
Ctenopharyngodon idella,11,3,3,4,3,1,2,1,0,37,0,1,1,3,2,3,2,23,0,2,0,5,6,0,2,1,0,4,2,1,0,2,2,1,1,1,0,0,1,0,2,8,0,0,2,4,3,0,2,0,2,0,10,1,2,1,2,3,4,0,2,0,5,15,1
Dasypus novemcinctus,0,1,0,1,0,0,0,6,7,2,1,8,9,1,0,0,0,0,11,0,10,2,0,4,1,0,7,0,6,7,11,1,1,0,1,0,4,2,7,3,0,1,0,7,6,0,1,0,1,10,1,9,0,2,0,2,1,0,0,0,1,7,0,2,11
Dreissena polymorpha,3,5,2,1,0,3,2,0,1,3,0,0,0,1,2,6,10,1,0,69,0,4,3,0,1,0,0,18,1,0,0,0,2,1,0,10,0,1,0,1,2,33,1,2,0,45,22,1,0,0,1,0,2,5,0,0,0,0,0,0,6,1,3,7,0
Elephas maximus indicus,0,1,0,0,0,0,0,8,16,2,4,9,3,0,0,0,0,0,7,0,11,0,1,0,0,0,4,0,6,10,9,1,0,0,0,0,7,6,6,6,0,1,0,6,11,0,1,0,0,2,0,11,0,0,2,6,1,1,0,0,0,9,0,1,7
Engraulis encrasicolus,8,4,10,3,5,1,7,0,0,9,1,2,1,1,9,3,0,1,1,1,0,25,5,4,0,1,1,13,5,0,0,3,1,1,2,4,0,1,1,1,1,1,1,0,1,0,0,4,5,1,0,1,4,0,1,4,5,2,2,3,5,0,1,15,3
Esox lucius,18,3,5,1,0,2,5,0,0,10,1,1,0,1,5,8,2,2,0,6,0,5,4,0,1,1,3,8,2,0,2,3,0,2,3,8,1,0,0,2,1,5,3,0,1,3,2,2,1,1,0,0,1,5,1,2,12,3,2,4,3,1,3,12,0
Fundulus heteroclitus,7,1,3,8,6,1,6,1,2,19,1,1,1,4,0,2,0,2,0,1,0,2,2,26,9,5,1,3,1,0,0,5,2,3,7,0,0,0,2,5,7,2,3,0,1,0,0,0,4,0,0,0,5,3,9,2,0,1,6,1,0,0,3,5,1
Gambusia affinis,12,1,1,3,0,1,2,0,0,14,1,0,0,1,5,3,0,2,0,3,1,1,2,13,19,9,0,0,2,0,0,4,2,2,5,0,0,1,0,1,8,4,1,1,0,3,1,2,2,0,3,2,5,1,11,6,2,3,6,4,2,0,1,7,2
Girardinichthys multiradiatus,17,0,2,6,6,1,5,0,0,16,1,0,0,0,0,1,1,2,0,2,2,2,1,3,8,6,0,1,3,1,1,2,1,6,4,5,0,0,1,1,8,2,9,0,2,3,3,0,1,0,2,1,2,0,3,0,1,2,9,7,0,0,2,6,0
Gopherus evgoodei,1,0,0,0,1,0,3,5,2,2,2,2,4,0,0,2,0,0,3,0,4,0,1,2,1,1,18,0,9,3,7,1,0,0,0,0,3,6,2,30,3,1,3,4,6,1,1,0,3,4,0,3,0,0,2,9,0,4,0,1,1,6,0,2,5
