target,n_classes,n_components,accuracy,f1_macro,roc_auc_macro,auprc_macro
dinuc_GC,5,16,0.6745498931949955,0.6746299273444614,0.9119873820629885,0.7113210988606039
dinuc_GC,5,32,0.688358254501068,0.6880364604042425,0.9207646318576247,0.7309911575360224
dinuc_GC,5,64,0.6943851083307904,0.6941606370769466,0.9223738519726933,0.7354090412451975
dinuc_GC,5,128,0.6936985047299359,0.6937506768689723,0.9223448650342293,0.7337430951971191
dinuc_GC,5,256,0.6955294476655478,0.69529875137624,0.9225251860771045,0.7349769825994418
dinuc_GC,5,512,0.6948428440646933,0.6943340678852318,0.9217168027489601,0.7334532674928
dinuc_GC,5,768,0.696292340555386,0.6958692015464794,0.921659054207679,0.7346495338615063
dinuc_AT,5,0,0.20033567287152884,0.19943548435078123,0.5007739313890485,0.20048546820417598
dinuc_AT,5,1,0.22421422032346658,0.21241489172547606,0.5348398478084528,0.2217202591757026
dinuc_AT,5,2,0.5647696063472688,0.5659180727875468,0.8584524503699198,0.5955167439903026
dinuc_AT,5,3,0.6070338724443088,0.6087659822155628,0.882794260624547,0.6361323391025205
dinuc_AT,5,4,0.6240463838877022,0.6249665915947341,0.8923650362654273,0.6612167415261426
dinuc_AT,5,8,0.634650595056454,0.635575711014636,0.8992919101316378,0.6748788769281854
dinuc_AT,5,16,0.6689807750991761,0.6696589867102607,0.91371788986451,0.7024725075661064
dinuc_AT,5,32,0.6759993896856882,0.6766768352463122,0.9167643390278364,0.7095845791558635
dinuc_AT,5,64,0.6803478791577663,0.6809266553885317,0.9184140511066241,0.7157340823464837
dinuc_AT,5,128,0.6871376258773269,0.6878663911132319,0.9208625762332054,0.7198651804308314
dinuc_AT,5,256,0.687061336588343,0.6875808654813618,0.921211615767229,0.7234693273096714
dinuc_AT,5,512,0.6895025938358255,0.689914834785988,0.9210046836059445,0.7225196542708895
dinuc_AT,5,768,0.6866798901434239,0.6864084538081089,0.9201525301575917,0.7221396946736501
dinuc_TA,5,0,0.198504729935917,0.19743846028626694,0.5036657014525663,0.20177312412425485
dinuc_TA,5,1,0.23336893500152578,0.21965169516345714,0.5382344289427604,0.22398320588861198
dinuc_TA,5,2,0.5730088495575221,0.5735133795583904,0.8649746038698387,0.5988557642748098
dinuc_TA,5,3,0.5929203539823009,0.5932632766216006,0.8781862519545376,0.6219010725609633
dinuc_TA,5,4,0.6038297223069881,0.603792463135491,0.8854915702358493,0.6370669618568795
dinuc_TA,5,8,0.6231309124198963,0.6224076905555427,0.894606876060869,0.6578091169734374
